StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q23,Q8,Q4,Q22,Q6,Q8,Q10,Q18,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your gender？,What is your age range?,What is your highest level of education?,How closely related is your field of study or professional field to Computer Science?,"Have you taken any courses, either online or in person, related to robotics or automation?",I have had experience with robots before,Robots can be trusted:,Have you ever used a robotic arm or similar device in any capacity?,How quickly do you feel you can respond to visual cues when using a device or system?,Estimate how often you have had to perform tasks that require quick reactions in your current or past roles.,How many years have you been playing video games?,How often do you play video games?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID23""}","{""ImportId"":""QID17""}","{""ImportId"":""QID4""}","{""ImportId"":""QID22""}","{""ImportId"":""QID10""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}"
2024-05-03 15:15:50,2024-05-03 15:16:42,IP Address,130.64.22.2,100,51,True,2024-05-03 15:16:42,R_31ZeqgSHPfngfoB,,,,,42.4178,-71.1134,anonymous,EN,Male,25-34 years old,Graduate degree,"Directly Related to Computer Science: Computer Science, Software Engineering, Data Science, and related fields.","Yes, professional training for work or research",I currently use them,Disagree,"Yes, I regularly use robotic arms in my work or studies.",Average speed,Sometimes,More than 10 years,Several times a week
2024-05-03 15:16:52,2024-05-03 15:18:29,IP Address,130.64.22.2,100,96,True,2024-05-03 15:18:29,R_6pPlQbHzy1e3VqB,,,,,42.4178,-71.1134,anonymous,EN,Male,18-24 years old,Bachelor's degree,"Directly Related to Computer Science: Computer Science, Software Engineering, Data Science, and related fields.","Yes, professional training for work or research",I currently use them,Agree,"Yes, I have used one for tasks or projects.",Quickly,Often,More than 10 years,Daily
2024-05-03 15:34:01,2024-05-03 15:35:04,IP Address,130.64.22.2,100,62,True,2024-05-03 15:35:04,R_1gJKc6kA4kL4Qut,,,,,42.4178,-71.1134,anonymous,EN,Male,18-24 years old,Bachelor's degree,"Somewhat Related: Information Systems, Digital Marketing, Graphic Design, Multimedia Arts, and other technology-driven fields.","No, I have not taken any such courses.","Seen them, haven't interacted",Neither,"Yes, but only in a limited or instructional setting.",Slowly,Sometimes,1-3 years,A few times a month
2024-05-03 15:36:10,2024-05-03 15:37:07,IP Address,130.64.22.2,100,56,True,2024-05-03 15:37:07,R_2QCAxxDUlIKD0NX,,,,,42.4178,-71.1134,anonymous,EN,Male,18-24 years old,Some college,"Directly Related to Computer Science: Computer Science, Software Engineering, Data Science, and related fields.","Yes, informal tutorials or workshops.","Light interactions, possibly demoed",Neither,"No, I have never used one",Quickly,Sometimes,More than 10 years,Daily
2024-05-03 15:43:52,2024-05-03 15:45:08,IP Address,130.64.22.2,100,75,True,2024-05-03 15:45:08,R_2Kvf7uFc03xXYzD,,,,,42.4178,-71.1134,anonymous,EN,Male,18-24 years old,Bachelor's degree,"Indirectly Related: Business, Economics, Education, Health Sciences, and other fields that occasionally utilize computer science principles.","No, I have not taken any such courses.",Never,Neither,"No, I have never used one",Very slowly,Never,4-6 years,Daily
2024-05-03 16:01:18,2024-05-03 16:02:12,IP Address,130.64.22.2,100,53,True,2024-05-03 16:02:12,R_7lWerQ303ib1arj,,,,,42.4178,-71.1134,anonymous,EN,Male,18-24 years old,Bachelor's degree,"Related to Science and Technology: Physical Sciences, Mathematics, Engineering (excluding Software and Computer Engineering), and Technology fields.","Yes, professional training for work or research",I currently use them,Neither,"Yes, I regularly use robotic arms in my work or studies.",Average speed,Rarely,Less than 1 year,Rarely
2024-05-03 16:18:15,2024-05-03 16:21:14,IP Address,130.64.22.2,100,179,True,2024-05-03 16:21:14,R_5SkRggLV6it2Jqq,,,,,42.4178,-71.1134,anonymous,EN,Male,25-34 years old,Bachelor's degree,"Directly Related to Computer Science: Computer Science, Software Engineering, Data Science, and related fields.","Yes, formal courses as part of an educational program.",I currently use them,Neither,"Yes, I have used one for tasks or projects.",Quickly,Sometimes,More than 10 years,A few times a month
2024-05-03 16:34:41,2024-05-03 18:27:07,IP Address,130.64.22.2,100,6746,True,2024-05-03 18:27:08,R_2qg9bziaDs0xhZ6,,,,,42.4178,-71.1134,anonymous,EN,Male,25-34 years old,Bachelor's degree,"Directly Related to Computer Science: Computer Science, Software Engineering, Data Science, and related fields.","Yes, professional training for work or research",I currently use them,Agree,"Yes, I have used one for tasks or projects.",Average speed,Often,4-6 years,A few times a month
